StateCo,StateAb,DivName,DivId,DivCo,PPName,Status,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,EntrancesDesc,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,NoOrdIssuingOff,NoOfDecIssuingOff
"3","VIC","Mallee","224","30","Bridgewater","Appointment","Bridgewater Memorial Hall","37 Eildon St","","","BRIDGEWATER ON LODDON","VIC","3516","3137","Memorial Hall","37 Eildon St  ","BRIDGEWATER ON LODDON","","","Entrance to polling place through main d oor off Eldon St.","-36.6029000","143.9450000","2103302","Assisted","366","36","1","1"
"3","VIC","Mallee","224","30","Cabarita","Current","Cabarita Primary School","225 Seventeenth St","","","CABARITA","VIC","3505","4460","Primary School","225 Seventeenth St","CABARITA","","","Enter from 17th St through Teachers Car Park","-34.2064000","142.0940000","2139606","None","485","34","2","1"
"3","VIC","Mallee","224","30","Calivil","Appointment","Calivil Public Hall","517 Prairie West Rd","","","CALIVIL","VIC","3573","4729","Public Hall","517 Prairie West Rd  ","CALIVIL","","","Access polling place through single gate located off Prairie West Rd. Polling place located at rear of Public Hall.","-36.2991000","144.0710000","2103316","Assisted","105","7","0","1"
"3","VIC","Mallee","224","30","Cardross","Current","Cardross Primary School","415 Dairtnunk Ave","","","CARDROSS","VIC","3496","4462","Primary School","415 Dairtnunk Ave","CARDROSS","","","Enter from School Gate near Crossing on Dairtnunk ave","-34.2882000","142.1460000","2139909","Assisted","421","20","2","1"
"3","VIC","Mallee","224","30","Carisbrook","Appointment","Carisbrook Primary School","2 Camp St","","","CARISBROOK","VIC","3464","3266","Primary School","2 Camp St","CARISBROOK","","","Main doors to Tullaroop Wing","-37.0517552","143.8141327","2101703","Assisted","819","81","3","1"
"3","VIC","Mallee","224","30","Charlton","Current","Charlton Senior Citizens Centre","1 High St","","","CHARLTON","VIC","3525","3143","Senior Citizens Centre","1 High St","CHARLTON","","","Entrance from High St","-36.2671000","143.3480000","2140012","Assisted","681","75","2","1"
"3","VIC","Mallee","224","30","Cohuna","Current","Cohuna Memorial Hall","21 King Edward St","","","COHUNA","VIC","3568","4730","Memorial Hall","21 King Edward St  ","COHUNA","","Market St","Enter from Market st","-35.8108000","144.2210000","2140122","Assisted","1607","133","5","2"
"3","VIC","Mallee","224","30","Concongella (Mallee)","Appointment","Concongella Primary School","61 Concongella School Rd","","","CONCONGELLA","VIC","3384","3145","Primary School","61 Concongella School Rd","CONCONGELLA","","","Car park entry at School Rd.","-37.0494187","142.8223733","2139212","Assisted","118","28","0","1"
"3","VIC","Mallee","224","30","Dimboola","Current","Dimboola Uniting Church","17 Normanby St","","","DIMBOOLA","VIC","3414","4472","Uniting Church Hall","17 Normanby St","DIMBOOLA","","","Enter from Normanby St between Church & Hall","-36.4509000","142.0260000","2139023","Assisted","785","48","2","1"
"3","VIC","Mallee","224","30","Dingee","Appointment","Dingee Memorial Hall","Bendigo-Pyramid Hill Rd","","","DINGEE","VIC","3571","4736","Memorial Hall","26 Mack St  ","DINGEE","","","Access to venue via ramp located at the south side of building.","-36.3685000","144.2320000","2103312","Assisted","173","14","0","1"
"3","VIC","Mallee","224","30","Donald","Current","Donald Senior Citizens Centre","4 Hammill St","","","DONALD","VIC","3480","3147","Senior Citizens Centre","4 Hammill St","DONALD","","","Entrance from Hammill St","-36.3689000","142.9820000","2140001","Assisted","987","72","3","1"
"3","VIC","Mallee","224","30","Dunolly","Appointment","Dunolly Senior Citizens Centre","21 Bull St","","","DUNOLLY","VIC","3472","3148","Senior Citizens Centre","21 Bull St","DUNOLLY","","","Main entrance in Bull Street.","-36.8582224","143.7318713","2101705","Assisted","641","175","2","2"
"3","VIC","Mallee","224","30","Edenhope","Current","Edenhope Senior Citizens","76 Elizabeth St","","","EDENHOPE","VIC","3318","4976","Senior Citizens","76 Elizabeth St","EDENHOPE","","","Direct Entry from Elizabeth St","-37.0360400","141.2954345","2139308","Assisted","597","37","2","1"
"3","VIC","Mallee","224","30","Glenorchy","Current","Glenorchy Memorial Hall","29 Forest St","","","GLENORCHY","VIC","3385","3153","Memorial Hall","29 Forest St  ","GLENORCHY","","","Main entry at front of hall.","-36.9079673","142.6621546","2139206","Assisted","114","7","0","1"
"3","VIC","Mallee","224","30","Goroke","Current","Goroke Memorial Hall","30 Main St","","","GOROKE","VIC","3412","4478","Memorial Hall","30 Main St","GOROKE","","","Entrance straight off Main Street","-36.7187000","141.4740000","2139309","Assisted","240","14","1","1"
"3","VIC","Mallee","224","30","Harrow","Current","Harrow RSL Hall","27 Blair St","","","HARROW","VIC","3317","4989","RSL Hall","27 Blair St  ","HARROW","","","Front doors of hall","-37.1663000","141.5920000","2139303","Assisted","165","28","0","1"
"3","VIC","Mallee","224","30","Haven","Current","Haven Primary School","4362 Henty Hwy","","","HAVEN","VIC","3401","4481","Primary School","4362 Henty Hwy","HAVEN","","","Henty Hwy","-36.7581640","142.1941580","2138820","Assisted","535","39","2","1"
"3","VIC","Mallee","224","30","Hopetoun","Current","Hopetoun Senior Citizens Rooms","20 Dennys St","","","HOPETOUN","VIC","3396","4482","Senior Citizens Rooms","20 Dennys St  ","HOPETOUN","","","Main entrance off Toole St","-35.7288913","142.3645521","2139416","Assisted","449","30","2","1"
"3","VIC","Mallee","224","30","Horsham","Current","Horsham Masonic Hall","27 Urquhart St","","","HORSHAM","VIC","3400","4483","Masonic Hall","27 Urquhart St  ","HORSHAM","","","Urquhart St","-36.7148000","142.2028000","2138831","Assisted","1247","118","4","1"
"3","VIC","Mallee","224","30","Horsham East","Current","Horsham CWA Hall","37 McPherson St","","","HORSHAM","VIC","3400","4568","CWA Hall","37 McPherson St","HORSHAM","","","McPherson St","-36.7133000","142.2050000","2138834","Assisted","906","76","3","1"
"3","VIC","Mallee","224","30","Horsham North","Current","Horsham North Primary School","2B Rasmussen Rd","","","HORSHAM","VIC","3400","4484","Primary School","2B Rasmussen Rd","HORSHAM","Gymnasium","","Main Door to School Gym.","-36.6973000","142.2050000","2138808","Assisted","886","52","3","1"
"3","VIC","Mallee","224","30","Horsham West","Current","Horsham West Primary School","25 Hillary St","","","HORSHAM","VIC","3400","4485","Primary School","25 Hillary St","HORSHAM","Gymnasium","","Entrance from Hillary Street Gate","-36.7173000","142.1800000","2138823","Assisted","1120","76","3","1"
"3","VIC","Mallee","224","30","Inglewood","Appointment","Inglewood Primary School","77 Sullivan St","","","INGLEWOOD","VIC","3517","3161","Primary School","77 Sullivan St","INGLEWOOD","","","Enter from Sullivan St.","-36.5738737","143.8704055","2103301","Assisted","688","90","2","1"
"3","VIC","Mallee","224","30","Irymple","Current","Irymple Multi Cultural Senior Citizen Rooms","2128 Fifteenth St","","","IRYMPLE","VIC","3498","4486","Multicultural Senior Citizen Centre","2128 Fifteenth St","IRYMPLE","","","Entrance from service rd off 15th St","-34.2343000","142.1690000","2139515","Assisted","1185","86","3","1"
"3","VIC","Mallee","224","30","Jeparit","Current","Jeparit Kindergarten","9 Hindmarsh St","","","JEPARIT","VIC","3423","4487","Kindergarten","9 Hindmarsh St  ","JEPARIT","","","Main gate on Hindmarsh St","-36.1436000","141.9880000","2139017","Assisted","290","10","1","1"
"3","VIC","Mallee","224","30","Kaniva","Current","Kaniva Wesley Hall","20 Baker St","","","KANIVA","VIC","3419","4489","Wesley Hall","20 Baker St  ","KANIVA","","","Entrance from Baker St","-36.3784000","141.2410000","2139018","Assisted","674","33","2","1"
"3","VIC","Mallee","224","30","Kerang","Current","Kerang Primary SChool","79 Victoria Street","","","KERANG","VIC","3579","4759","Primary SChool","79 Victoria St","KERANG","","","","-35.7323802","143.9210392","2140202","Assisted","1334","130","4","2"
"3","VIC","Mallee","224","30","Kerang North","Current","Kerang North Technical High School","48 Murray St","","","KERANG","VIC","3579","4760","Technical High School","48 Murray St","KERANG","Thornley Hall","","Direct access from Burgoyne St","-35.7253000","143.9140000","2140207","Assisted","990","48","3","1"
